BSE_CODE,BSE_NAME,BSE_SYMBOL,BSE_SECURITY_NAME,Status,Group,BSE_FACE_VALUE,ISIN,Instrument,NSE_SYMBOL,NSE_NAME,SERIES,DATE OF LISTING,PAID UP VALUE,MARKET LOT,NSE_FACE_VALUE,CompanyName,Ticker,Exchange
521248,Kitex Garmenets Ltd.,KITEX,Kitex Garments Ltd,Active,B ,1,INE602G01020,Equity,KITEX,Kitex Garments Limited,EQ,25-Sep-12,1,1,1,Kitex Garments Limited,KITEX.NS,BOTH
522249,Mayur Uniquoters ltd.,MAYURUNIQ,Mayur Uniquoters Ltd-$,Active,B ,5,INE040D01038,Equity,MAYURUNIQ,Mayur Uniquoters Ltd,EQ,25-Sep-12,5,1,5,Mayur Uniquoters Ltd,MAYURUNIQ.NS,BOTH
533168,Rossell India Limited,ROSSELLIND,Rossell India Ltd,Active,B ,2,INE847C01020,Equity,ROSSELLIND,Rossell India Limited,EQ,25-Sep-12,2,1,2,Rossell India Limited,ROSSELLIND.NS,BOTH
532621,Morarjee Textiles Limited,MORARJEE,Morarjee Textiles Ltd,Active,Z ,7,INE161G01027,Equity,MORARJEE,Morarjee Textiles Limited,BZ,14-Sep-12,7,1,7,Morarjee Textiles Limited,MORARJEE.NS,BOTH
534675,PROZONE REALTY LIMITED,PROZONER,Prozone Realty Ltd,Active,T ,2,INE195N01013,Equity,PROZONER,Prozone Realty Limited,BE,12-Sep-12,2,1,2,Prozone Realty Limited,PROZONER.NS,BOTH
534597,RATTANINDIA ENTERPRISES LIMITED,RTNINDIA,Rattanindia Enterprises Ltd,Active,B ,2,INE834M01019,Equity,RTNINDIA,RattanIndia Enterprises Limited,EQ,30-Jul-12,2,1,2,RattanIndia Enterprises Limited,RTNINDIA.NS,BOTH
534598,Sampann Utpadan India Limited,SAMPANN,Sampann Utpadan India Ltd,Active,B ,10,INE735M01018,Equity,SAMPANN,Sampann Utpadan India Limited,EQ,27-Jul-12,10,1,10,Sampann Utpadan India Limited,SAMPANN.NS,BOTH
532807,Cineline India Limited,CINELINE,Cineline India Ltd,Active,B ,5,INE704H01022,Equity,CINELINE,Cineline India Limited,EQ,13-Jun-12,5,1,5,Cineline India Limited,CINELINE.NS,BOTH
534425,Speciality Restaurants Limited,SPECIALITY,Speciality Restaurants Ltd,Active,B ,10,INE247M01014,Equity,SPECIALITY,Speciality Restaurants Limited,EQ,30-May-12,10,1,10,Speciality Restaurants Limited,SPECIALITY.NS,BOTH
103310,Swan Corp Limited,SWANENERGY#,Swan Energy Ltd.,Active,A ,1,INE665A01038,Equity,SWANCORP,SWAN CORP LIMITED,EQ,29-May-12,1,1,1,SWAN CORP LIMITED,SWANCORP.NS,BOTH
534392,Vardhman Special Steels Ltd,VSSL,Vardhman Special Steels Ltd,Active,B ,10,INE050M01012,Equity,VSSL,Vardhman Special Steels Limited,EQ,17-May-12,10,1,10,Vardhman Special Steels Limited,VSSL.NS,BOTH
534369,Tribhovandas Bhimji Zaveri Limited,TBZ,Tribhovandas Bhimji Zaveri Ltd,Active,B ,10,INE760L01018,Equity,TBZ,Tribhovandas Bhimji Zaveri Limited,EQ,9-May-12,10,1,10,Tribhovandas Bhimji Zaveri Limited,TBZ.NS,BOTH
534328,Hexa Tradex Limited,HEXATRADEX,Hexa Tradex Ltd,Active,B ,2,INE750M01017,Equity,HEXATRADEX,Hexa Tradex Limited,EQ,20-Apr-12,2,1,2,Hexa Tradex Limited,HEXATRADEX.NS,BOTH
534312,MT EDUCARE LIMITED,MTEDUCARE,MT Educare Ltd,Active,T ,10,INE472M01018,Equity,MTEDUCARE,MT Educare Limited,BE,12-Apr-12,10,1,10,MT Educare Limited,MTEDUCARE.NS,BOTH
134309,NBCC (India) Limited,NBCC#,NBCC (India) Limited,Active,A ,1,INE095N01031,Equity,NBCC,NBCC (India) Limited,EQ,12-Apr-12,1,1,1,NBCC (India) Limited,NBCC.NS,BOTH
113377,MMTC Ltd.,MMTC#,"MMTC Ltd.,",Active,A ,1,INE123F01029,Equity,MMTC,MMTC Limited,EQ,9-Apr-12,1,1,1,MMTC Limited,MMTC.NS,BOTH
532641,Nandan Denim Limited,NDL,Nandan Denim Ltd,Active,B ,1,INE875G01048,Equity,NDL,Nandan Denim Limited,EQ,23-Mar-12,1,1,1,Nandan Denim Limited,NDL.NS,BOTH
134139,SCHNEIDER ELECTRIC INFRASTRUCTURE LIMITED,SCHNEIDER#,SCHNEIDER ELECTRIC INFRASTRUCTURE LIMITE,Active,A ,2,INE839M01018,Equity,SCHNEIDER,Schneider Electric Infrastructure Limited,EQ,20-Mar-12,2,1,2,Schneider Electric Infrastructure Limited,SCHNEIDER.NS,BOTH
134076,RHI MAGNESITA INDIA LIMITED,RHIM#,RHI MAGNESITA INDIA LIMITED,Active,A ,1,INE743M01012,Equity,RHIM,RHI MAGNESITA INDIA LIMITED,EQ,12-Mar-12,1,1,1,RHI MAGNESITA INDIA LIMITED,RHIM.NS,BOTH
534091,Multi Commodity Exchange of India Ltd,MCX,Multi Commodity Exchange of India Ltd,Active,A ,10,INE745G01035,Equity,MCX,Multi Commodity Exchange of India Limited,EQ,9-Mar-12,10,1,10,Multi Commodity Exchange of India Limited,MCX.NS,BOTH
532339,Compucom Software Lt.,COMPUSOFT,Compucom Software Ltd-$,Active,B ,2,INE453B01029,Equity,COMPUSOFT,Compucom Software Limited,EQ,2-Mar-12,2,1,2,Compucom Software Limited,COMPUSOFT.NS,BOTH
530393,DB(INTERNATIONAL)Stock Brokers Ltd,DBSTOCKBRO,DB International Stock Brokers Ltd,Active,B ,2,INE921B01025,Equity,DBSTOCKBRO,DB (International) Stock Brokers Limited,EQ,29-Feb-12,2,1,2,DB (International) Stock Brokers Limited,DBSTOCKBRO.NS,BOTH
533941,THOMAS SCOTT (INDIA) LIMITED,THOMASCOTT,Thomas Scott (India) Ltd,Active,B ,10,INE480M01011,Equity,THOMASCOTT,Thomas Scott (India) Limited,EQ,30-Jan-12,10,1,10,Thomas Scott (India) Limited,THOMASCOTT.NS,BOTH
